,0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,searchQueryource,tweetCreated,tweetCoordinates,tweetentities,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,Tokens3,Tokenslimpios,Tokenslimpios2,Tokenslimpios3
0,"Ya no soy peje, ahora soy AndresManuelovich https://t.co/L1fzb5QGgX",954016032582258688,"Ya no soy peje, ahora soy AndresManuelovich https://t.co/L1fzb5QGgX",9184,21771,Twitter for iPhone,2018-01-18 15:42:01,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/lopezobrador_/status/954016032582258688/video/1', u'display_url': u'pic.twitter.com/L1fzb5QGgX', u'url': u'https://t.co/L1fzb5QGgX', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/954015235991527425/pu/img/RxBeV2W2BTnzXoZU.jpg', u'id_str': u'954015235991527425', u'sizes': {u'large': {u'h': 480, u'resize': u'fit', u'w': 848}, u'small': {u'h': 385, u'resize': u'fit', u'w': 680}, u'medium': {u'h': 480, u'resize': u'fit', u'w': 848}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [44, 67], u'type': u'photo', u'id': 954015235991527425, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/954015235991527425/pu/img/RxBeV2W2BTnzXoZU.jpg'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,"ya no soy peje, ahora soy andresmanuelovich https://t.co/l1fzb5qggx",ya no soy peje ahora soy andresmanuelovich httpstcol1fzb5qggx,"[ya, no, soy, peje, ahora, soy, andresmanuelovich, httpstcol, 1fzb5qggx]","[peje, ahora, andresmanuelovich, httpstcol, 1fzb5qggx]"
1,"¡Ah, qué buena medicina! https://t.co/cnbOcACc4b",953636206117576705,"¡Ah, qué buena medicina! https://t.co/cnbOcACc4b",5120,10464,Twitter for iPhone,2018-01-17 14:32:43,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/lopezobrador_/status/953636206117576705/video/1', u'display_url': u'pic.twitter.com/cnbOcACc4b', u'url': u'https://t.co/cnbOcACc4b', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/953635030525333512/pu/img/WBJ6PWdjKcJ63XaW.jpg', u'id_str': u'953635030525333512', u'sizes': {u'large': {u'h': 480, u'resize': u'fit', u'w': 848}, u'small': {u'h': 385, u'resize': u'fit', u'w': 680}, u'medium': {u'h': 480, u'resize': u'fit', u'w': 848}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [25, 48], u'type': u'photo', u'id': 953635030525333512, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/953635030525333512/pu/img/WBJ6PWdjKcJ63XaW.jpg'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,"¡ah, qué buena medicina! https://t.co/cnbocacc4b",¡ah qué buena medicina httpstcocnbocacc4b,"[¡, ah, qué, buena, medicina, httpstcocnbocacc, 4b]","[¡, ah, buena, medicina, httpstcocnbocacc, 4b]"
2,"Un llamado a los panistas de buena voluntad a luchar juntos por la honestidad, la justicia y la democracia https://t.co/jq1Mc42a7s",953386789624074240,"Un llamado a los panistas de buena voluntad a luchar juntos por la honestidad, la justicia y la democracia https://t.co/jq1Mc42a7s",2021,4410,Twitter for iPhone,2018-01-16 22:01:38,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/jq1Mc42a7s', u'indices': [107, 130], u'expanded_url': u'https://youtu.be/t0eZeNwZwDk', u'display_url': u'youtu.be/t0eZeNwZwDk'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,"un llamado a los panistas de buena voluntad a luchar juntos por la honestidad, la justicia y la democracia https://t.co/jq1mc42a7s",un llamado a los panistas de buena voluntad a luchar juntos por la honestidad la justicia y la democracia httpstcojq1mc42a7s,"[un, llamado, a, los, panistas, de, buena, voluntad, a, luchar, juntos, por, la, honestidad, la, justicia, y, la, democracia, httpstcojq, 1mc42a7s]","[llamado, panistas, buena, voluntad, luchar, juntos, honestidad, justicia, democracia, httpstcojq, 1mc42a7s]"
3,En las encuestas estamos arriba en Chihuahua. Está llegando a su fin el bipartidismo del PRIAN instaurado durante e… https://t.co/8VhyFU6Z3k,953088378081198080,En las encuestas estamos arriba en Chihuahua. Está llegando a su fin el bipartidismo del PRIAN instaurado durante e… https://t.co/8VhyFU6Z3k,3427,7213,Twitter for iPhone,2018-01-16 02:15:51,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/8VhyFU6Z3k', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/953088378081198080', u'display_url': u'twitter.com/i/web/status/9…'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,en las encuestas estamos arriba en chihuahua. está llegando a su fin el bipartidismo del prian instaurado durante e… https://t.co/8vhyfu6z3k,en las encuestas estamos arriba en chihuahua está llegando a su fin el bipartidismo del prian instaurado durante e… httpstco8vhyfu6z3k,"[en, las, encuestas, estamos, arriba, en, chihuahua, está, llegando, a, su, fin, el, bipartidismo, del, prian, instaurado, durante, e, …, httpstco, 8vhyfu6z3k]","[encuestas, arriba, chihuahua, llegando, fin, bipartidismo, prian, instaurado, …, httpstco, 8vhyfu6z3k]"
4,"En Monterrey, trabajadores y empresarios, expresaron su apoyo a la alianza ""Juntos haremos historia"". https://t.co/Ipq1Q4Y6hC",952695892544499712,"En Monterrey, trabajadores y empresarios, expresaron su apoyo a la alianza ""Juntos haremos historia"". https://t.co/Ipq1Q4Y6hC",2777,5916,Twitter for iPhone,2018-01-15 00:16:15,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/lopezobrador_/status/952695892544499712/photo/1', u'display_url': u'pic.twitter.com/Ipq1Q4Y6hC', u'url': u'https://t.co/Ipq1Q4Y6hC', u'media_url_https': u'https://pbs.twimg.com/media/DTin2VzVMAA6Ahw.jpg', u'id_str': u'952695873196077056', u'sizes': {u'large': {u'h': 740, u'resize': u'fit', u'w': 1280}, u'small': {u'h': 393, u'resize': u'fit', u'w': 680}, u'medium': {u'h': 694, u'resize': u'fit', u'w': 1200}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [102, 125], u'type': u'photo', u'id': 952695873196077056, u'media_url': u'http://pbs.twimg.com/media/DTin2VzVMAA6Ahw.jpg'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,"en monterrey, trabajadores y empresarios, expresaron su apoyo a la alianza ""juntos haremos historia"". https://t.co/ipq1q4y6hc",en monterrey trabajadores y empresarios expresaron su apoyo a la alianza juntos haremos historia httpstcoipq1q4y6hc,"[en, monterrey, trabajadores, y, empresarios, expresaron, su, apoyo, a, la, alianza, juntos, haremos, historia, httpstcoipq, 1q4y6hc]","[monterrey, trabajadores, empresarios, expresaron, apoyo, alianza, juntos, haremos, historia, httpstcoipq, 1q4y6hc]"
5,Mucho entusiasmo y participación en Tampico. https://t.co/pyp9vy45w7,952307460265725952,Mucho entusiasmo y participación en Tampico. https://t.co/pyp9vy45w7,2812,6303,Twitter for iPhone,2018-01-13 22:32:46,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/lopezobrador_/status/952307460265725952/video/1', u'display_url': u'pic.twitter.com/pyp9vy45w7', u'url': u'https://t.co/pyp9vy45w7', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/952306018947497984/pu/img/dMjdnBrjzGPVV0yE.jpg', u'id_str': u'952306018947497984', u'sizes': {u'small': {u'h': 372, u'resize': u'fit', u'w': 680}, u'large': {u'h': 464, u'resize': u'fit', u'w': 848}, u'medium': {u'h': 464, u'resize': u'fit', u'w': 848}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [45, 68], u'type': u'photo', u'id': 952306018947497984, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/952306018947497984/pu/img/dMjdnBrjzGPVV0yE.jpg'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,mucho entusiasmo y participación en tampico. https://t.co/pyp9vy45w7,mucho entusiasmo y participación en tampico httpstcopyp9vy45w7,"[mucho, entusiasmo, y, participación, en, tampico, httpstcopyp, 9vy45w7]","[entusiasmo, participación, tampico, httpstcopyp, 9vy45w7]"
6,"Exijo transparencia en la contratación de J. J. Rendón, especialista en guerra sucia  
https://t.co/rVtauOPFM2",952239678010224640,"Exijo transparencia en la contratación de J. J. Rendón, especialista en guerra sucia  
https://t.co/rVtauOPFM2",3500,5183,Twitter for iPhone,2018-01-13 18:03:25,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/rVtauOPFM2', u'indices': [87, 110], u'expanded_url': u'https://youtu.be/ZoZPSl3RZvY', u'display_url': u'youtu.be/ZoZPSl3RZvY'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,"exijo transparencia en la contratación de j. j. rendón, especialista en guerra sucia  
https://t.co/rvtauopfm2","exijo transparencia en la contratación de j j rendón especialista en guerra sucia  
httpstcorvtauopfm2","[exijo, transparencia, en, la, contratación, de, j, j, rendón, especialista, en, guerra, sucia, httpstcorvtauopfm, 2]","[exijo, transparencia, contratación, j, j, rendón, especialista, guerra, sucia, httpstcorvtauopfm, 2]"
7,"En Veracruz, dónde se padece de pobreza, nepotismo, corrupcion, violencia y otras calamidades, es realmente una esp… https://t.co/N5hcobQl1z",951938218580107265,"En Veracruz, dónde se padece de pobreza, nepotismo, corrupcion, violencia y otras calamidades, es realmente una esp… https://t.co/N5hcobQl1z",2367,4758,Twitter for iPhone,2018-01-12 22:05:32,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/N5hcobQl1z', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/951938218580107265', u'display_url': u'twitter.com/i/web/status/9…'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,"en veracruz, dónde se padece de pobreza, nepotismo, corrupcion, violencia y otras calamidades, es realmente una esp… https://t.co/n5hcobql1z",en veracruz dónde se padece de pobreza nepotismo corrupcion violencia y otras calamidades es realmente una esp… httpstcon5hcobql1z,"[en, veracruz, dónde, se, padece, de, pobreza, nepotismo, corrupcion, violencia, y, otras, calamidades, es, realmente, una, esp, …, httpstcon, 5hcobql1z]","[veracruz, dónde, padece, pobreza, nepotismo, corrupcion, violencia, calamidades, realmente, esp, …, httpstcon, 5hcobql1z]"
8,Reflexión sobre el tema de Venezuela https://t.co/uYZpTQEKGo,951194203270234112,Reflexión sobre el tema de Venezuela https://t.co/uYZpTQEKGo,1262,2319,Twitter for iPhone,2018-01-10 20:49:05,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/uYZpTQEKGo', u'indices': [37, 60], u'expanded_url': u'https://youtu.be/ZST0fKmT230', u'display_url': u'youtu.be/ZST0fKmT230'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,reflexión sobre el tema de venezuela https://t.co/uyzptqekgo,reflexión sobre el tema de venezuela httpstcouyzptqekgo,"[reflexión, sobre, el, tema, de, venezuela, httpstcouyzptqekgo]","[reflexión, tema, venezuela, httpstcouyzptqekgo]"
9,"Martes a mediodía en Tlapacoyan y por la noche en Misantla, Veracruz. Por eso la guerra sucia con lo de Venezuela.… https://t.co/Ru32T5D5Jo",950894626486943744,"Martes a mediodía en Tlapacoyan y por la noche en Misantla, Veracruz. Por eso la guerra sucia con lo de Venezuela.… https://t.co/Ru32T5D5Jo",2437,5113,Twitter for iPhone,2018-01-10 00:58:40,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/Ru32T5D5Jo', u'indices': [116, 139], u'expanded_url': u'https://twitter.com/i/web/status/950894626486943744', u'display_url': u'twitter.com/i/web/status/9…'}]}",82119937,lopezobrador_,Andrés Manuel,2009-10-13 15:28:01,Precandidato a la Presidencia de la República,3488681,84,México,Mexico City,"martes a mediodía en tlapacoyan y por la noche en misantla, veracruz. por eso la guerra sucia con lo de venezuela.… https://t.co/ru32t5d5jo",martes a mediodía en tlapacoyan y por la noche en misantla veracruz por eso la guerra sucia con lo de venezuela… httpstcoru32t5d5jo,"[martes, a, mediodía, en, tlapacoyan, y, por, la, noche, en, misantla, veracruz, por, eso, la, guerra, sucia, con, lo, de, venezuela, …, httpstcoru, 32t5d5jo]","[martes, mediodía, tlapacoyan, noche, misantla, veracruz, guerra, sucia, venezuela, …, httpstcoru, 32t5d5jo]"
